Object, Time, Clicked, truth
IceCream, 1691487247322, True, True
HamEgg, 1691487251321, False, False
Hambuger, 1691487255323, False, False
Donuts, 1691487259323, True, True
Cake, 1691487273356, False, False
Waffle, 1691487277356, True, True
Bathtub, 1691487281391, True, True
Bed, 1691487285388, True, True
