Object, Time, Clicked, truth
0, 1693177197089, 0, True
1, 1693177202089, 0, False
2, 1693177207088, 0, False
3, 1693177212088, 0, False
4, 1693177217089, 0, True
5, 1693177222093, 0, False
6, 1693177227088, 0, False
7, 1693177232088, 0, False
8, 1693177237088, 0, False
9, 1693177242089, 0, True
10, 1693177247088, 0, False
11, 1693177252088, 0, False
12, 1693177257089, 0, True
13, 1693177262089, 0, True
14, 1693177267088, 0, False
15, 1693177272089, 0, True
16, 1693177277067, 0, False
17, 1693177282088, 0, True
18, 1693177287088, 0, True
19, 1693177292088, 0, True
20, 1693177297088, 0, False
21, 1693177302088, 0, False
22, 1693177307088, 0, True
23, 1693177312089, 0, False
24, 1693177317088, 0, True
25, 1693177322088, 0, True
26, 1693177327088, 0, False
27, 1693177332089, 0, False
28, 1693177337059, 0, True
29, 1693177342059, 2, True
30, 1693177347088, 0, True
31, 1693177352089, 0, True
32, 1693177357089, 0, True
33, 1693177362088, 0, False
34, 1693177367088, 0, False
35, 1693177372090, 0, False
36, 1693177377088, 0, False
37, 1693177382089, 0, True
38, 1693177387088, 0, True
39, 1693177392087, 0, False
40, 1693177397089, 0, False
41, 1693177402088, 0, True
42, 1693177407088, 0, False
43, 1693177412089, 0, True
44, 1693177417088, 0, True
45, 1693177422088, 0, True
46, 1693177427088, 0, False
47, 1693177432088, 0, False
48, 1693177437089, 0, False
49, 1693177442088, 0, False
50, 1693177456155, 0, False
51, 1693177461155, 0, True
52, 1693177466155, 0, True
53, 1693177471154, 0, True
54, 1693177476122, 0, False
55, 1693177481122, 0, True
56, 1693177486155, 0, True
57, 1693177491156, 0, True
58, 1693177496155, 0, True
59, 1693177501154, 0, False
60, 1693177506155, 0, True
61, 1693177511155, 0, True
62, 1693177516156, 0, False
63, 1693177521156, 0, False
64, 1693177526125, 0, True
65, 1693177531155, 0, False
66, 1693177536155, 0, True
67, 1693177541155, 0, False
68, 1693177546121, 0, False
69, 1693177551155, 0, False
70, 1693177556122, 0, True
71, 1693177561155, 0, True
72, 1693177566123, 0, False
73, 1693177571154, 0, True
74, 1693177576155, 0, False
75, 1693177581155, 0, False
76, 1693177586155, 0, True
77, 1693177591155, 0, True
78, 1693177596154, 0, False
79, 1693177601155, 0, False
80, 1693177606155, 0, False
81, 1693177611155, 0, False
82, 1693177616122, 0, False
83, 1693177621122, 0, True
84, 1693177626155, 0, True
85, 1693177631155, 0, True
86, 1693177636122, 0, True
87, 1693177641123, 0, False
88, 1693177646155, 0, False
89, 1693177651122, 0, True
90, 1693177656156, 0, True
91, 1693177661156, 0, False
92, 1693177666154, 0, True
93, 1693177671155, 0, False
94, 1693177676157, 0, False
95, 1693177681155, 0, False
96, 1693177686126, 0, True
97, 1693177691155, 0, True
98, 1693177696155, 0, True
99, 1693177701155, 0, True
